release_date,title,production_budget,domestic_gross_tn,worldwide_gross,domestic_gross_bom,foreign_gross,rating_tmdb,release_month,profit,roi,movie_id,primary_title,runtime_minutes,genres,rating_imdb,numvotes,original_title,rating,critic_score,id,studio,year
2014-09-26,The Equalizer,55000000.0,101530738.0,192903624.0,101500000.0,90800000,7.2,Sep,137903624.0,2.507338618181818,tt0455944,The Equalizer,132.0,"action, crime, thriller",7.2,302302.0,The Equalizer,7.2,,96,Sony,2014
2018-02-09,Fifty Shades Freed,55000000.0,100407760.0,371350619.0,100400000.0,271500000,6.1,Feb,316350619.0,5.751829436363637,tt4477536,Fifty Shades Freed,105.0,"drama, romance, thriller",4.5,43893.0,Fifty Shades Freed,5.3,,97,Uni.,2018
2010-04-09,Date Night,55000000.0,98711404.0,152269033.0,98700000.0,53600000,6.0,Apr,97269033.0,1.7685278727272726,tt1279935,Date Night,88.0,"comedy, crime, romance",6.3,144683.0,Date Night,6.15,,99,Fox,2010
2015-01-16,Paddington,55000000.0,76223578.0,258789097.0,76300000.0,191800000,7.0,Jan,203789097.0,3.705256309090909,tt1109624,Paddington,95.0,"adventure, comedy, family",7.2,84679.0,Paddington,7.1,,5,W/Dim.,2015
2013-11-01,Free Birds,55000000.0,55750480.0,110387072.0,55800000.0,54600000,5.8,Nov,55387072.0,1.0070376727272727,tt1621039,Free Birds,91.0,"adventure, animation, comedy",5.9,20934.0,Free Birds,5.85,,16,Rela.,2013
2014-03-21,Muppets Most Wanted,55000000.0,51178893.0,79312301.0,51200000.0,29200000,6.2,Mar,24312301.0,0.44204183636363636,tt2281587,Muppets Most Wanted,107.0,"adventure, comedy, crime",6.4,29018.0,Muppets Most Wanted,6.300000000000001,,20,BV,2014
2016-08-19,Kubo and the Two Strings,55000000.0,48023088.0,77548122.0,48000000.0,21900000,7.7,Aug,22548122.0,0.40996585454545453,tt4302938,Kubo and the Two Strings,101.0,"action, adventure, animation",7.8,105578.0,Kubo and the Two Strings,7.75,,22,Focus,2016
2010-11-24,Burlesque,55000000.0,39440655.0,90552675.0,39400000.0,50100000,7.1,Nov,35552675.0,0.6464122727272728,tt1126591,Burlesque,119.0,"drama, music, musical",6.4,71021.0,Burlesque,6.75,,24,SGem,2010
2010-11-24,Burlesque,55000000.0,39440655.0,90552675.0,39400000.0,50100000,7.1,Nov,35552675.0,0.6464122727272728,tt1586713,Burlesque,,drama,7.0,45.0,Burlesque,7.05,,24,SGem,2010
2012-07-27,The Watch,55000000.0,34353000.0,67130045.0,35400000.0,32900000,5.4,Jul,12130045.0,0.22054627272727273,tt1298649,The Watch,102.0,"action, comedy, horror",5.7,115757.0,The Watch,5.550000000000001,,27,Fox,2012
